# Forces          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            forces(pressure viscous)	moments(pressure viscous)
0                 	((0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (5.0472577735e-02 6.6875577960e-06 -1.1380763486e-06)) ((0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (-9.7018490460e-07 1.9061530958e-05 2.1476149474e-07))
1                 	((1.7053776532e+00 6.6813031922e-03 4.0286951647e-02) (5.0643424801e-02 5.3417175091e-06 -8.2448672113e-06)) ((-9.8765145049e-03 4.5113847286e-02 -5.8916193975e-03) (1.2798429213e-06 1.6158256199e-05 1.3813067820e-06))
2                 	((1.2756148044e+00 1.3977028010e-02 7.6169492140e-05) (5.0546883529e-02 6.1673071140e-06 4.2464719317e-06)) ((-8.4989616898e-03 3.8347949514e-02 -4.0753749176e-03) (2.7791669773e-06 8.0908956346e-06 1.0028970817e-06))
3                 	((8.5046608817e-01 1.5508167892e-02 -2.4449778767e-02) (5.0429654939e-02 5.8721804496e-06 4.8724943556e-06)) ((-7.8235765861e-03 3.5661200259e-02 -1.9372521542e-03) (3.8109257054e-06 4.7984170802e-06 -3.4605100913e-08))
4                 	((6.3607197927e-01 1.5523187460e-02 -4.3722184500e-02) (5.0308016006e-02 4.6315573022e-06 7.9958971283e-06)) ((-7.9825816053e-03 3.7014563094e-02 4.0645361862e-04) (3.9887762118e-06 4.6302194741e-06 1.0673139271e-06))
5                 	((5.4496061243e-01 1.4518554407e-02 -5.7473545077e-02) (5.0191035904e-02 2.7225181054e-06 1.2042390186e-05)) ((-8.3496440589e-03 3.8578201467e-02 2.3590598887e-03) (3.4990082362e-06 3.7454357579e-06 2.7301440293e-06))
6                 	((5.0693122708e-01 1.3883757631e-02 -6.6892905783e-02) (5.0090504106e-02 8.3626806783e-08 1.4703887855e-05)) ((-8.8458785603e-03 4.0396793252e-02 3.6053237341e-03) (2.6496152050e-06 2.9040923502e-06 3.9225061229e-06))
7                 	((4.8942310612e-01 1.3661924895e-02 -6.9963573162e-02) (5.0004140763e-02 -2.6164052699e-06 1.6148750218e-05)) ((-9.2476813247e-03 4.3196938997e-02 4.4524131366e-03) (1.7107261138e-06 3.2555076923e-06 4.6362217719e-06))
8                 	((4.8094219321e-01 1.3933532328e-02 -7.0110633949e-02) (4.9929228762e-02 -4.6561381575e-06 1.6997815251e-05)) ((-9.5159306614e-03 4.4581369020e-02 4.9867221911e-03) (7.6721671778e-07 3.8711052718e-06 4.9180865041e-06))
9                 	((4.7751557331e-01 1.4405091083e-02 -6.9093233562e-02) (4.9863209015e-02 -5.6744711267e-06 1.7570028778e-05)) ((-9.6980633169e-03 4.4195546613e-02 5.3387750994e-03) (-1.7651228668e-07 4.6338122019e-06 4.7433583206e-06))
10                	((4.7688740315e-01 1.4906954326e-02 -6.7247747663e-02) (4.9805250339e-02 -5.9586247458e-06 1.7080474440e-05)) ((-9.8582177068e-03 4.3109793637e-02 5.6095122237e-03) (-1.0008884639e-06 5.3958455143e-06 4.6339250801e-06))
