cn,ce,cd,x,y,z,on,oe,od,error
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,100,-50,2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-7,19,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,100,-50,2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-7,19,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,100,-50,2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-7,19,0,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0,0,0,-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,100,-50,2,-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,-7,19,0,-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0,0,0,-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,100,-50,2,-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,-7,19,0,-0.0,0.0,0.0,0.0
-0.0,-0.0,0.0,0,0,0,-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,100,-50,2,-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,-7,19,0,-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,0,0,0,-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,100,-50,2,-0.0,-0.0,0.0,0.0
-0.0,-0.0,0.0,-7,19,0,-0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0,0,0,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,100,-50,2,0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,-7,19,0,0.0,-0.0,0.0,0.0
0.25,0.0,0.0,0,0,0,0.25,0.0,0.0,0.0
0.25,0.0,0.0,100,-50,2,0.25,0.0,0.0,0.0
0.25,0.0,0.0,-7,19,0,0.25,0.0,0.0,0.0
0.1767766952966369,0.17677669529663687,0.0,0,0,0,0.1767766952966369,0.17677669529663687,0.0,0.0
0.1767766952966369,0.17677669529663687,0.0,100,-50,2,0.1767766952966369,0.17677669529663687,0.0,0.0
0.1767766952966369,0.17677669529663687,0.0,-7,19,0,0.1767766952966369,0.17677669529663687,0.0,0.0
1.5308084989341915e-17,0.25,0.0,0,0,0,1.5308084989341915e-17,0.25,0.0,0.0
1.5308084989341915e-17,0.25,0.0,100,-50,2,1.5308084989341915e-17,0.25,0.0,0.0
1.5308084989341915e-17,0.25,0.0,-7,19,0,1.5308084989341915e-17,0.25,0.0,0.0
-0.17677669529663687,0.1767766952966369,0.0,0,0,0,-0.17677669529663687,0.1767766952966369,0.0,0.0
-0.17677669529663687,0.1767766952966369,0.0,100,-50,2,-0.17677669529663687,0.1767766952966369,0.0,0.0
-0.17677669529663687,0.1767766952966369,0.0,-7,19,0,-0.17677669529663687,0.1767766952966369,0.0,0.0
-0.25,3.061616997868383e-17,0.0,0,0,0,-0.25,3.061616997868383e-17,0.0,0.0
-0.25,3.061616997868383e-17,0.0,100,-50,2,-0.25,3.061616997868383e-17,0.0,0.0
-0.25,3.061616997868383e-17,0.0,-7,19,0,-0.25,3.061616997868383e-17,0.0,0.0
-0.17677669529663692,-0.17677669529663687,0.0,0,0,0,-0.17677669529663692,-0.17677669529663687,0.0,0.0
-0.17677669529663692,-0.17677669529663687,0.0,100,-50,2,-0.17677669529663692,-0.17677669529663687,0.0,0.0
-0.17677669529663692,-0.17677669529663687,0.0,-7,19,0,-0.17677669529663692,-0.17677669529663687,0.0,0.0
-4.592425496802574e-17,-0.25,0.0,0,0,0,-4.592425496802574e-17,-0.25,0.0,0.0
-4.592425496802574e-17,-0.25,0.0,100,-50,2,-4.592425496802574e-17,-0.25,0.0,0.0
-4.592425496802574e-17,-0.25,0.0,-7,19,0,-4.592425496802574e-17,-0.25,0.0,0.0
0.17677669529663684,-0.17677669529663692,0.0,0,0,0,0.17677669529663684,-0.17677669529663692,0.0,0.0
0.17677669529663684,-0.17677669529663692,0.0,100,-50,2,0.17677669529663684,-0.17677669529663692,0.0,0.0
0.17677669529663684,-0.17677669529663692,0.0,-7,19,0,0.17677669529663684,-0.17677669529663692,0.0,0.0
0.5,0.0,0.0,0,0,0,0.5,0.0,0.0,0.0
0.5,0.0,0.0,100,-50,2,0.5,0.0,0.0,0.0
0.5,0.0,0.0,-7,19,0,0.5,0.0,0.0,0.0
0.3535533905932738,0.35355339059327373,0.0,0,0,0,0.3535533905932738,0.35355339059327373,0.0,0.0
0.3535533905932738,0.35355339059327373,0.0,100,-50,2,0.3535533905932738,0.35355339059327373,0.0,0.0
0.3535533905932738,0.35355339059327373,0.0,-7,19,0,0.3535533905932738,0.35355339059327373,0.0,0.0
3.061616997868383e-17,0.5,0.0,0,0,0,3.061616997868383e-17,0.5,0.0,0.0
3.061616997868383e-17,0.5,0.0,100,-50,2,3.061616997868383e-17,0.5,0.0,0.0
3.061616997868383e-17,0.5,0.0,-7,19,0,3.061616997868383e-17,0.5,0.0,0.0
-0.35355339059327373,0.3535533905932738,0.0,0,0,0,-0.35355339059327373,0.3535533905932738,0.0,0.0
-0.35355339059327373,0.3535533905932738,0.0,100,-50,2,-0.35355339059327373,0.3535533905932738,0.0,0.0
-0.35355339059327373,0.3535533905932738,0.0,-7,19,0,-0.35355339059327373,0.3535533905932738,0.0,0.0
-0.5,6.123233995736766e-17,0.0,0,0,0,-0.5,6.123233995736766e-17,0.0,0.0
-0.5,6.123233995736766e-17,0.0,100,-50,2,-0.5,6.123233995736766e-17,0.0,0.0
-0.5,6.123233995736766e-17,0.0,-7,19,0,-0.5,6.123233995736766e-17,0.0,0.0
-0.35355339059327384,-0.35355339059327373,0.0,0,0,0,-0.35355339059327384,-0.35355339059327373,0.0,0.0
-0.35355339059327384,-0.35355339059327373,0.0,100,-50,2,-0.35355339059327384,-0.35355339059327373,0.0,0.0
-0.35355339059327384,-0.35355339059327373,0.0,-7,19,0,-0.35355339059327384,-0.35355339059327373,0.0,0.0
-9.184850993605148e-17,-0.5,0.0,0,0,0,-9.184850993605148e-17,-0.5,0.0,0.0
-9.184850993605148e-17,-0.5,0.0,100,-50,2,-9.184850993605148e-17,-0.5,0.0,0.0
-9.184850993605148e-17,-0.5,0.0,-7,19,0,-9.184850993605148e-17,-0.5,0.0,0.0
0.3535533905932737,-0.35355339059327384,0.0,0,0,0,0.3535533905932737,-0.35355339059327384,0.0,0.0
0.3535533905932737,-0.35355339059327384,0.0,100,-50,2,0.3535533905932737,-0.35355339059327384,0.0,0.0
0.3535533905932737,-0.35355339059327384,0.0,-7,19,0,0.3535533905932737,-0.35355339059327384,0.0,0.0
1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,100,-50,2,1.0,0.0,0.0,0.0
1.0,0.0,0.0,-7,19,0,1.0,0.0,0.0,0.0
0.7071067811865476,0.7071067811865475,0.0,0,0,0,0.7071067811865476,0.7071067811865475,0.0,0.0
0.7071067811865476,0.7071067811865475,0.0,100,-50,2,0.7071067811865476,0.7071067811865475,0.0,0.0
0.7071067811865476,0.7071067811865475,0.0,-7,19,0,0.7071067811865476,0.7071067811865475,0.0,0.0
6.123233995736766e-17,1.0,0.0,0,0,0,6.123233995736766e-17,1.0,0.0,0.0
6.123233995736766e-17,1.0,0.0,100,-50,2,6.123233995736766e-17,1.0,0.0,0.0
6.123233995736766e-17,1.0,0.0,-7,19,0,6.123233995736766e-17,1.0,0.0,0.0
-0.7071067811865475,0.7071067811865476,0.0,0,0,0,-0.7071067811865475,0.7071067811865476,0.0,0.0
-0.7071067811865475,0.7071067811865476,0.0,100,-50,2,-0.7071067811865475,0.7071067811865476,0.0,0.0
-0.7071067811865475,0.7071067811865476,0.0,-7,19,0,-0.7071067811865475,0.7071067811865476,0.0,0.0
-1.0,1.2246467991473532e-16,0.0,0,0,0,-1.0,1.2246467991473532e-16,0.0,0.0
-1.0,1.2246467991473532e-16,0.0,100,-50,2,-1.0,1.2246467991473532e-16,0.0,0.0
-1.0,1.2246467991473532e-16,0.0,-7,19,0,-1.0,1.2246467991473532e-16,0.0,0.0
-0.7071067811865477,-0.7071067811865475,0.0,0,0,0,-0.7071067811865477,-0.7071067811865475,0.0,0.0
-0.7071067811865477,-0.7071067811865475,0.0,100,-50,2,-0.7071067811865477,-0.7071067811865475,0.0,0.0
-0.7071067811865477,-0.7071067811865475,0.0,-7,19,0,-0.7071067811865477,-0.7071067811865475,0.0,0.0
-1.8369701987210297e-16,-1.0,0.0,0,0,0,-1.8369701987210297e-16,-1.0,0.0,0.0
-1.8369701987210297e-16,-1.0,0.0,100,-50,2,-1.8369701987210297e-16,-1.0,0.0,0.0
-1.8369701987210297e-16,-1.0,0.0,-7,19,0,-1.8369701987210297e-16,-1.0,0.0,0.0
0.7071067811865474,-0.7071067811865477,0.0,0,0,0,0.7071067811865474,-0.7071067811865477,0.0,0.0
0.7071067811865474,-0.7071067811865477,0.0,100,-50,2,0.7071067811865474,-0.7071067811865477,0.0,0.0
0.7071067811865474,-0.7071067811865477,0.0,-7,19,0,0.7071067811865474,-0.7071067811865477,0.0,0.0
1.5,0.0,0.0,0,0,0,1.5,0.0,0.0,0.0
1.5,0.0,0.0,100,-50,2,1.5,0.0,0.0,0.0
1.5,0.0,0.0,-7,19,0,1.5,0.0,0.0,0.0
1.0606601717798214,1.0606601717798212,0.0,0,0,0,1.0606601717798214,1.0606601717798212,0.0,0.0
1.0606601717798214,1.0606601717798212,0.0,100,-50,2,1.0606601717798214,1.0606601717798212,0.0,0.0
1.0606601717798214,1.0606601717798212,0.0,-7,19,0,1.0606601717798214,1.0606601717798212,0.0,0.0
9.184850993605148e-17,1.5,0.0,0,0,0,9.184850993605148e-17,1.5,0.0,0.0
9.184850993605148e-17,1.5,0.0,100,-50,2,9.184850993605148e-17,1.5,0.0,0.0
9.184850993605148e-17,1.5,0.0,-7,19,0,9.184850993605148e-17,1.5,0.0,0.0
-1.0606601717798212,1.0606601717798214,0.0,0,0,0,-1.0606601717798212,1.0606601717798214,0.0,0.0
-1.0606601717798212,1.0606601717798214,0.0,100,-50,2,-1.0606601717798212,1.0606601717798214,0.0,0.0
-1.0606601717798212,1.0606601717798214,0.0,-7,19,0,-1.0606601717798212,1.0606601717798214,0.0,0.0
-1.5,1.8369701987210297e-16,0.0,0,0,0,-1.5,1.8369701987210297e-16,0.0,0.0
-1.5,1.8369701987210297e-16,0.0,100,-50,2,-1.5,1.8369701987210297e-16,0.0,0.0
-1.5,1.8369701987210297e-16,0.0,-7,19,0,-1.5,1.8369701987210297e-16,0.0,0.0
-1.0606601717798214,-1.0606601717798212,0.0,0,0,0,-1.0606601717798214,-1.0606601717798212,0.0,0.0
-1.0606601717798214,-1.0606601717798212,0.0,100,-50,2,-1.0606601717798214,-1.0606601717798212,0.0,0.0
-1.0606601717798214,-1.0606601717798212,0.0,-7,19,0,-1.0606601717798214,-1.0606601717798212,0.0,0.0
-2.755455298081545e-16,-1.5,0.0,0,0,0,-2.755455298081545e-16,-1.5,0.0,0.0
-2.755455298081545e-16,-1.5,0.0,100,-50,2,-2.755455298081545e-16,-1.5,0.0,0.0
-2.755455298081545e-16,-1.5,0.0,-7,19,0,-2.755455298081545e-16,-1.5,0.0,0.0
1.060660171779821,-1.0606601717798214,0.0,0,0,0,1.060660171779821,-1.0606601717798214,0.0,0.0
1.060660171779821,-1.0606601717798214,0.0,100,-50,2,1.060660171779821,-1.0606601717798214,0.0,0.0
1.060660171779821,-1.0606601717798214,0.0,-7,19,0,1.060660171779821,-1.0606601717798214,0.0,0.0
